(31, -164)
(-52, 265)
(21, -10)
(-130, 344)
(195, -41)
(179, -192)
(-257, -125)
(-349, -300)
(-50, -60)
(-295, -343)
(-151, 214)
(-182, -222)
(28, -112)
(252, -261)
(28, 347)
(32, -363)
(264, -246)
(-230, 54)
(312, 338)
(-360, 365)
(-149, 40)
(-221, -385)
(394, -69)
(385, 209)
(-323, -75)
(-268, -389)
(84, 347)
(-160, 339)
(278, -241)
(163, -24)
(-150, 198)
(-311, -62)
(-211, 62)
(198, -238)
(-28, -64)
(11, -92)
(-209, 374)
(-298, 58)
(-35, -67)
(-241, -48)
(-264, 183)
(-335, 79)
(-196, 263)
(-145, -322)
(351, -281)
(-388, 111)
(-199, -368)
(341, -178)
(-311, 345)
(29, 349)
(-275, -304)
(-35, 249)
(68, -21)
(272, -28)
(153, -191)
(-319, 350)
(-278, 330)
(185, -97)
(253, -282)
(326, -31)
