S1 : 0 -> 96 : FROM START TO END
S2 : 13 -> 84 : FROM S1 TO S1
S3 : 58 -> 61 : FROM S2 TO S1
S4 : 59 -> 90 : FROM S3 TO S1
S5 : 29 -> 39 : FROM S1 TO S2
S6 : 89 -> 91 : FROM S4 TO S1
S7 : 60 -> 68 : FROM S3 TO S1
S8 : 37 -> 48 : FROM S5 TO S1
S9 : 67 -> 93 : FROM S7 TO S1
S10 : 9 -> 48 : FROM S1 TO S1
S11 : 38 -> 61 : FROM S1 TO S1
S12 : 35 -> 42 : FROM S5 TO S1
S13 : 48 -> 57 : FROM S1 TO S11
S14 : 28 -> 88 : FROM S10 TO S9
S15 : 35 -> 87 : FROM S1 TO S4
S16 : 22 -> 95 : FROM S2 TO S1
S17 : 36 -> 60 : FROM S5 TO S14
S18 : 37 -> 43 : FROM S5 TO S1
S19 : 48 -> 58 : FROM S17 TO S1
S20 : 20 -> 49 : FROM S1 TO S2
S21 : 34 -> 47 : FROM S5 TO S2
S22 : 51 -> 64 : FROM S19 TO S16
S23 : 46 -> 60 : FROM S14 TO S14
S24 : 54 -> 71 : FROM S11 TO S1
S25 : 13 -> 56 : FROM S1 TO S16
S26 : 75 -> 94 : FROM S4 TO S16
S27 : 52 -> 74 : FROM S13 TO S14
S28 : 52 -> 70 : FROM S15 TO S14
S29 : 61 -> 91 : FROM S15 TO S1
S30 : 20 -> 48 : FROM S1 TO S2
S31 : 72 -> 90 : FROM S27 TO S1
S32 : 39 -> 79 : FROM S30 TO S31
S33 : 40 -> 47 : FROM S12 TO S25
S34 : 37 -> 93 : FROM S5 TO S1
S35 : 14 -> 32 : FROM S1 TO S14
S36 : 63 -> 67 : FROM S32 TO S4
S37 : 37 -> 59 : FROM S21 TO S16
S38 : 76 -> 81 : FROM S32 TO S29
S39 : 40 -> 71 : FROM S18 TO S16
S40 : 20 -> 84 : FROM S1 TO S15
S41 : 90 -> 94 : FROM S6 TO S16
S42 : 83 -> 85 : FROM S31 TO S16
S43 : 59 -> 69 : FROM S3 TO S34
S44 : 78 -> 84 : FROM S26 TO S9
S45 : 34 -> 48 : FROM S1 TO S20
S46 : 46 -> 76 : FROM S30 TO S34
S47 : 41 -> 49 : FROM S25 TO S13
S48 : 53 -> 84 : FROM S28 TO S14
S49 : 37 -> 83 : FROM S12 TO S15
S50 : 24 -> 50 : FROM S1 TO S37
S51 : 38 -> 65 : FROM S45 TO S46
S52 : 80 -> 94 : FROM S44 TO S16
S53 : 58 -> 83 : FROM S28 TO S2
S54 : 92 -> 94 : FROM S41 TO S1
S55 : 2 -> 35 : FROM S1 TO S10
S56 : 41 -> 54 : FROM S21 TO S25
S57 : 84 -> 90 : FROM S52 TO S1
S58 : 37 -> 52 : FROM S10 TO S56
S59 : 53 -> 91 : FROM S23 TO S34
S60 : 36 -> 57 : FROM S1 TO S14
S61 : 44 -> 54 : FROM S8 TO S60
S62 : 72 -> 85 : FROM S9 TO S59
S63 : 79 -> 88 : FROM S44 TO S4
S64 : 84 -> 88 : FROM S42 TO S9
S65 : 30 -> 75 : FROM S1 TO S31
S66 : 47 -> 54 : FROM S60 TO S51
S67 : 30 -> 78 : FROM S5 TO S32
S68 : 44 -> 95 : FROM S47 TO S1
S69 : 49 -> 84 : FROM S13 TO S9
S70 : 35 -> 67 : FROM S1 TO S24
S71 : 57 -> 78 : FROM S19 TO S40
S72 : 44 -> 84 : FROM S14 TO S4
S73 : 76 -> 86 : FROM S26 TO S29
S74 : 60 -> 68 : FROM S24 TO S53
S75 : 3 -> 9 : FROM S1 TO S1
S76 : 54 -> 87 : FROM S34 TO S68
S77 : 61 -> 82 : FROM S28 TO S1
S78 : 82 -> 89 : FROM S9 TO S34
S79 : 36 -> 77 : FROM S5 TO S31
S80 : 31 -> 75 : FROM S1 TO S53
S81 : 62 -> 64 : FROM S71 TO S28
S82 : 61 -> 76 : FROM S67 TO S76
S83 : 45 -> 92 : FROM S60 TO S41
S84 : 87 -> 89 : FROM S78 TO S9
S85 : 30 -> 52 : FROM S1 TO S19
S86 : 65 -> 79 : FROM S74 TO S59
S87 : 44 -> 79 : FROM S33 TO S16
S88 : 17 -> 60 : FROM S10 TO S4
S89 : 47 -> 84 : FROM S45 TO S68
S90 : 18 -> 81 : FROM S1 TO S14
S91 : 38 -> 51 : FROM S5 TO S61
S92 : 51 -> 81 : FROM S37 TO S1
S93 : 66 -> 76 : FROM S36 TO S79
S94 : 68 -> 70 : FROM S82 TO S4
S95 : 35 -> 93 : FROM S1 TO S54
S96 : 64 -> 85 : FROM S28 TO S9
S97 : 47 -> 56 : FROM S45 TO S39
S98 : 50 -> 68 : FROM S89 TO S46
S99 : 62 -> 66 : FROM S83 TO S14
S100 : 25 -> 53 : FROM S1 TO S92
S101 : 80 -> 83 : FROM S63 TO S96
S102 : 58 -> 79 : FROM S39 TO S44
S103 : 59 -> 84 : FROM S71 TO S14
S104 : 58 -> 69 : FROM S95 TO S65
S105 : 22 -> 37 : FROM S1 TO S88
S106 : 81 -> 90 : FROM S63 TO S95
S107 : 65 -> 74 : FROM S95 TO S86
S108 : 77 -> 80 : FROM S73 TO S92
S109 : 82 -> 91 : FROM S44 TO S26
S110 : 22 -> 48 : FROM S1 TO S89
S111 : 90 -> 92 : FROM S109 TO S34
S112 : 46 -> 94 : FROM S61 TO S68
S113 : 43 -> 85 : FROM S100 TO S106
S114 : 58 -> 88 : FROM S87 TO S16
S115 : 13 -> 43 : FROM S1 TO S80
S116 : 75 -> 88 : FROM S82 TO S106
S117 : 20 -> 48 : FROM S35 TO S49
S118 : 78 -> 82 : FROM S38 TO S1
S119 : 68 -> 90 : FROM S9 TO S52
S120 : 16 -> 64 : FROM S1 TO S36
